Al0.05,Co0.25,Cr0.5,Mn0.2
Al0.03846154,Co0.23076923,Mn0.34615385,Ni0.38461538
Al0.04545455,Co0.36363636,Fe0.45454545,V0.13636364
Al0.03448276,Co0.34482759,Mn0.34482759,V0.27586207
Al0.05882353,Co0.58823529,Cr0.23529412,Ni0.11764706
Al0.04761905,Co0.47619048,Fe0.28571429,Mn0.19047619
Al0.04545455,Cr0.04545455,Nb0.45454545,Ti0.45454545
Al0.05555556,Cr0.55555556,Fe0.27777778,Mn0.11111111
Al0.04,Cr0.4,Mn0.16,Ti0.4
Al0.07692308,Cu0.07692308,Mn0.07692308,Ni0.76923077
Al0.03846154,Fe0.38461538,Mn0.19230769,V0.38461538
Al0.05,Hf0.3,Mo0.15,W0.5
Al0.04545455,Hf0.45454545,Nb0.36363636,Ni0.13636364
Al0.05263158,Mn0.15789474,Nb0.26315789,Zr0.52631579
Al0.05263158,Mn0.15789474,Ni0.26315789,V0.52631579
Al0.03703704,Mn0.22222222,Mo0.37037037,Nb0.37037037
Al0.05882353,Mo0.58823529,V0.17647059,W0.17647059
Al0.0625,Nb0.0625,Ti0.625,Zr0.25
Al0.09090909,Co0.09090909,Ni0.45454545,Ti0.36363636
Al0.1,Co0.15,Ni0.25,V0.5
Al0.07407407,Co0.25925926,Mn0.2962963,V0.37037037
Al0.07692308,Co0.38461538,Cr0.38461538,Cu0.15384615
Al0.0952381,Cr0.33333333,Mn0.0952381,V0.47619048
Al0.0952381,Cr0.33333333,Ti0.0952381,V0.47619048
Al0.07407407,Cr0.37037037,Fe0.37037037,Ti0.18518519
Al0.06896552,Cr0.34482759,Fe0.27586207,Mn0.31034483
Al0.08695652,Fe0.43478261,Ni0.08695652,Ti0.39130435
Al0.09090909,Hf0.04545455,Mo0.45454545,Nb0.40909091
Al0.08695652,Hf0.43478261,Nb0.2173913,Zr0.26086957
Al0.08333333,Mn0.41666667,Nb0.29166667,Ti0.20833333
Al0.14285714,Cr0.14285714,Mn0.23809524,Mo0.47619048
Al0.17647059,Cu0.05882353,Mn0.58823529,Ni0.17647059
Al0.15,Cu0.05,Nb0.5,Ti0.3
Al0.10714286,Cu0.35714286,Mn0.17857143,Ti0.35714286
Al0.17647059,Fe0.17647059,Mo0.05882353,V0.58823529
Al0.1875,Fe0.625,Mn0.125,V0.0625
Al0.09375,Fe0.3125,Ti0.28125,W0.3125
Al0.14285714,Hf0.47619048,Ti0.23809524,W0.14285714
Al0.14285714,Mn0.14285714,Ti0.47619048,V0.23809524
Al0.13043478,Mo0.04347826,Ti0.39130435,W0.43478261
Al0.13043478,Nb0.04347826,Ti0.43478261,Zr0.39130435
Al0.10714286,Nb0.35714286,Ti0.32142857,Zr0.21428571
Al0.19047619,Co0.0952381,Cr0.23809524,Mn0.47619048
Al0.14285714,Co0.17857143,Cu0.32142857,Ni0.35714286
Al0.19047619,Co0.28571429,Ni0.04761905,Ti0.47619048
Al0.22222222,Co0.55555556,Cr0.16666667,Ni0.05555556
Al0.17391304,Cr0.13043478,Cu0.43478261,Ti0.26086957
Al0.16,Cr0.12,Fe0.4,Ni0.32
Al0.2,Cr0.2,Nb0.1,Ti0.5
Al0.16666667,Cr0.29166667,Cu0.41666667,Mn0.125
Al0.16,Cr0.4,Ni0.12,V0.32
Al0.15384615,Cr0.38461538,Ni0.38461538,V0.07692308
Al0.17391304,Cu0.04347826,Hf0.43478261,Ti0.34782609
Al0.18181818,Fe0.31818182,Nb0.04545455,Ni0.45454545
Al0.22222222,Fe0.55555556,Mn0.05555556,Mo0.16666667
Al0.19047619,Hf0.19047619,Mo0.47619048,V0.14285714
Al0.17391304,Hf0.34782609,V0.04347826,Zr0.43478261
Al0.2,Hf0.5,Mn0.1,Ti0.2
Al0.13793103,Hf0.34482759,Nb0.20689655,Zr0.31034483
Al0.16666667,Mo0.04166667,Ti0.375,V0.41666667
Al0.14285714,Mo0.32142857,Ni0.17857143,V0.35714286
Al0.23529412,Mo0.58823529,Ti0.05882353,W0.11764706
Al0.2173913,Co0.17391304,Mo0.17391304,Ni0.43478261
Al0.17857143,Co0.21428571,Hf0.25,Nb0.35714286
Al0.2,Co0.4,Cu0.36,W0.04
Al0.17241379,Cr0.20689655,Fe0.27586207,Ti0.34482759
Al0.23809524,Cu0.04761905,Fe0.23809524,V0.47619048
Al0.23809524,Cu0.14285714,Nb0.47619048,Zr0.14285714
Al0.18518519,Cu0.14814815,Ni0.37037037,Ti0.2962963
Al0.15625,Cu0.25,Fe0.28125,Mn0.3125
Al0.23809524,Cu0.47619048,Mo0.04761905,Ti0.23809524
Al0.16666667,Fe0.16666667,Ti0.33333333,W0.33333333
Al0.18518519,Fe0.33333333,V0.37037037,Zr0.11111111
Al0.19230769,Hf0.38461538,Nb0.03846154,Ti0.38461538
Al0.20833333,Hf0.41666667,Ti0.29166667,W0.08333333
Al0.18518519,Mn0.2962963,Ni0.37037037,Ti0.14814815
Al0.20833333,Mo0.08333333,Nb0.29166667,V0.41666667
Al0.17857143,Mo0.32142857,Nb0.35714286,W0.14285714
Al0.25,Ni0.2,Ti0.05,V0.5
Al0.20689655,Co0.10344828,Hf0.34482759,Zr0.34482759
Al0.22222222,Co0.18518519,Mo0.37037037,Ti0.22222222
Al0.22222222,Co0.22222222,Cr0.18518519,Ti0.37037037
Al0.20689655,Co0.20689655,Cr0.24137931,Ni0.34482759
Al0.2,Co0.2,Nb0.33333333,Ti0.26666667
Al0.19354839,Co0.22580645,Ti0.32258065,Zr0.25806452
Al0.19354839,Co0.25806452,Cu0.22580645,V0.32258065
Al0.18181818,Co0.27272727,Cr0.24242424,V0.3030303
Al0.18181818,Co0.27272727,Cu0.3030303,Fe0.24242424
Al0.1875,Co0.3125,Cu0.3125,V0.1875
Al0.20689655,Co0.34482759,Nb0.34482759,V0.10344828
Al0.3,Cr0.15,Mo0.5,Nb0.05
Al0.23076923,Cr0.15384615,Fe0.38461538,V0.23076923
Al0.27272727,Cr0.22727273,Mn0.04545455,Nb0.45454545
Al0.20689655,Cr0.20689655,Cu0.24137931,Fe0.34482759
Al0.20689655,Cr0.34482759,Fe0.20689655,Mn0.24137931
Al0.1875,Cr0.3125,Fe0.25,Mn0.25
Al0.22222222,Cr0.37037037,Mn0.37037037,Ni0.03703704
Al0.18181818,Cr0.3030303,Nb0.24242424,V0.27272727
Al0.25,Cu0.20833333,Ti0.41666667,W0.125
Al0.2,Cu0.23333333,Fe0.33333333,Ni0.23333333
Al0.2,Cu0.23333333,Mn0.23333333,V0.33333333
Al0.20689655,Cu0.24137931,Ti0.34482759,W0.20689655
Al0.19354839,Cu0.25806452,Fe0.22580645,V0.32258065
Al0.21428571,Cu0.35714286,Mn0.21428571,Ti0.21428571
Al0.18181818,Cu0.3030303,Mn0.21212121,Ti0.3030303
Al0.18181818,Cu0.3030303,Ti0.3030303,V0.21212121
Al0.23076923,Fe0.15384615,Hf0.23076923,Ti0.38461538
Al0.23076923,Fe0.15384615,Ti0.38461538,V0.23076923
Al0.21428571,Fe0.17857143,Nb0.25,Zr0.35714286
Al0.2,Fe0.23333333,V0.23333333,W0.33333333
Al0.2,Fe0.26666667,Hf0.2,V0.33333333
Al0.19354839,Fe0.25806452,Ti0.22580645,Zr0.32258065
Al0.17647059,Fe0.26470588,Mo0.29411765,Nb0.26470588
Al0.28571429,Fe0.47619048,Mn0.19047619,V0.04761905
Al0.2,Fe0.33333333,Mo0.2,V0.26666667
Al0.20689655,Fe0.34482759,Ni0.20689655,Ti0.24137931
Al0.21428571,Hf0.17857143,Ni0.25,Zr0.35714286
Al0.1875,Hf0.21875,Mo0.28125,Zr0.3125
Al0.1875,Hf0.25,Mo0.25,W0.3125
Al0.21428571,Hf0.28571429,Mo0.35714286,V0.14285714
Al0.19354839,Hf0.32258065,Mo0.19354839,Zr0.29032258
Al0.21428571,Mn0.21428571,Mo0.35714286,Ni0.21428571
Al0.2,Mn0.33333333,Nb0.23333333,Ti0.23333333
Al0.2,Mo0.2,Nb0.26666667,Zr0.33333333
Al0.21428571,Mo0.21428571,Nb0.35714286,V0.21428571
Al0.19354839,Mo0.19354839,Ni0.32258065,V0.29032258
Al0.19354839,Mo0.22580645,V0.25806452,Zr0.32258065
Al0.16666667,Mo0.27777778,Nb0.27777778,W0.27777778
Al0.20689655,Mo0.34482759,Ti0.24137931,W0.20689655
Al0.19354839,Mo0.32258065,Ti0.25806452,W0.22580645
Al0.21428571,Nb0.35714286,Ti0.21428571,Zr0.21428571
Al0.21428571,Nb0.35714286,V0.21428571,Zr0.21428571
Al0.20689655,Ni0.20689655,Ti0.34482759,V0.24137931
Al0.19354839,Ni0.29032258,V0.32258065,W0.19354839
Al0.19354839,Ti0.29032258,W0.19354839,Zr0.32258065
Al0.21875,Co0.1875,Cr0.3125,Ti0.28125
Al0.24137931,Co0.20689655,Hf0.34482759,Nb0.20689655
Al0.22580645,Co0.22580645,Cr0.32258065,Mn0.22580645
Al0.21212121,Co0.24242424,Fe0.3030303,Mo0.24242424
Al0.20588235,Co0.26470588,Mn0.23529412,Ti0.29411765
Al0.22580645,Co0.32258065,Cr0.25806452,Ni0.19354839
Al0.21212121,Co0.3030303,Fe0.24242424,Ti0.24242424
Al0.24137931,Cr0.06896552,Fe0.34482759,Mo0.34482759
Al0.21875,Cr0.15625,Ni0.3125,Ti0.3125
Al0.24137931,Cr0.20689655,Cu0.20689655,V0.34482759
Al0.22580645,Cr0.25806452,Mo0.32258065,V0.19354839
Al0.20588235,Cr0.29411765,Cu0.23529412,Fe0.26470588
Al0.21875,Cr0.3125,Ni0.28125,Ti0.1875
Al0.21875,Cr0.3125,Ti0.1875,V0.28125
Al0.26923077,Cu0.11538462,Hf0.38461538,Mo0.23076923
Al0.21875,Cu0.21875,Mo0.25,Ti0.3125
Al0.21212121,Cu0.24242424,Fe0.24242424,Mn0.3030303
Al0.2,Cu0.25714286,Fe0.25714286,Mn0.28571429
Al0.23333333,Cu0.33333333,Fe0.23333333,Ti0.2
Al0.22580645,Fe0.19354839,Mn0.32258065,Ni0.25806452
Al0.21875,Fe0.1875,Mo0.3125,Nb0.28125
Al0.25,Fe0.32142857,Mn0.35714286,W0.07142857
Al0.21212121,Fe0.3030303,Hf0.24242424,Ti0.24242424
Al0.21212121,Fe0.3030303,Nb0.24242424,Ti0.24242424
Al0.22580645,Fe0.32258065,Ti0.25806452,V0.19354839
Al0.20588235,Fe0.29411765,V0.23529412,W0.26470588
Al0.25,Hf0.10714286,Ti0.28571429,Zr0.35714286
Al0.22580645,Hf0.19354839,Mn0.25806452,Nb0.32258065
Al0.21875,Hf0.1875,Mn0.3125,Nb0.28125
Al0.21212121,Hf0.21212121,V0.3030303,W0.27272727
Al0.22580645,Hf0.22580645,W0.22580645,Zr0.32258065
Al0.21875,Hf0.3125,Mo0.25,Zr0.21875
Al0.22580645,Hf0.32258065,Ti0.25806452,Zr0.19354839
Al0.23333333,Mn0.33333333,Mo0.1,Ni0.33333333
Al0.23333333,Mn0.33333333,Mo0.33333333,Ti0.1
Al0.21875,Mo0.21875,Nb0.3125,Zr0.25
Al0.21875,Mo0.21875,Ni0.25,V0.3125
Al0.23333333,Mo0.3,Ni0.13333333,V0.33333333
Al0.21212121,Nb0.3030303,V0.21212121,Zr0.27272727
Al0.23333333,Ni0.26666667,Ti0.16666667,W0.33333333
Al0.22580645,Ni0.25806452,Ti0.32258065,Zr0.19354839
Al0.25925926,V0.22222222,W0.37037037,Zr0.14814815
Al0.2962963,Co0.11111111,Nb0.37037037,V0.22222222
Al0.32,Co0.16,Ti0.4,Zr0.12
Al0.25,Co0.1875,Cr0.3125,Cu0.25
Al0.26666667,Co0.2,Cr0.33333333,Ti0.2
Al0.24242424,Co0.21212121,Mo0.24242424,Nb0.3030303
Al0.24242424,Co0.21212121,Nb0.3030303,Ni0.24242424
Al0.25,Co0.25,Cu0.1875,Fe0.3125
Al0.23529412,Co0.26470588,Fe0.20588235,Mn0.29411765
Al0.24242424,Co0.3030303,Cr0.18181818,Ti0.27272727
Al0.27586207,Co0.34482759,Cu0.24137931,Mn0.13793103
Al0.21621622,Co0.27027027,Cu0.27027027,Mn0.24324324
Al0.25,Co0.3125,Fe0.25,Ti0.1875
Al0.24242424,Co0.3030303,Fe0.27272727,V0.18181818
Al0.23529412,Co0.29411765,Mo0.23529412,Ni0.23529412
Al0.25,Co0.3125,Ti0.21875,W0.21875
Al0.34782609,Cr0.04347826,Cu0.17391304,Zr0.43478261
Al0.28571429,Cr0.17857143,Hf0.17857143,V0.35714286
Al0.23529412,Cr0.20588235,Nb0.26470588,Ti0.29411765
Al0.25806452,Cr0.22580645,Nb0.32258065,V0.19354839
Al0.28571429,Cr0.25,Ni0.35714286,V0.10714286
Al0.22857143,Cr0.22857143,Mo0.28571429,W0.25714286
Al0.22222222,Cr0.25,Cu0.27777778,Ni0.25
Al0.22222222,Cr0.25,Fe0.27777778,Mo0.25
Al0.22857143,Cr0.28571429,Mo0.25714286,Ti0.22857143
Al0.23529412,Cr0.29411765,Nb0.26470588,V0.20588235
Al0.25,Cr0.3125,V0.25,W0.1875
Al0.30769231,Cu0.07692308,Mo0.23076923,Ti0.38461538
Al0.34782609,Cu0.13043478,Ni0.08695652,Ti0.43478261
Al0.25806452,Cu0.22580645,Mo0.19354839,Ti0.32258065
Al0.24242424,Cu0.3030303,Fe0.21212121,Ni0.24242424
Al0.25,Cu0.3125,Fe0.25,Ni0.1875
Al0.23529412,Cu0.29411765,Mo0.20588235,Ti0.26470588
Al0.24242424,Cu0.3030303,Ti0.24242424,V0.21212121
Al0.25806452,Fe0.19354839,Mo0.22580645,Nb0.32258065
Al0.26666667,Fe0.2,Nb0.33333333,Ti0.2
Al0.24242424,Fe0.18181818,Nb0.3030303,W0.27272727
Al0.25806452,Fe0.22580645,Mo0.19354839,Ni0.32258065
Al0.23529412,Fe0.20588235,Ni0.29411765,V0.26470588
Al0.22857143,Fe0.28571429,V0.2,W0.28571429
Al0.24242424,Fe0.3030303,V0.3030303,W0.15151515
Al0.33333333,Hf0.20833333,Ni0.04166667,Ti0.41666667
Al0.23529412,Hf0.23529412,Mn0.29411765,Ni0.23529412
Al0.24242424,Hf0.24242424,V0.21212121,Zr0.3030303
Al0.21621622,Hf0.24324324,Nb0.27027027,Zr0.27027027
Al0.25806452,Hf0.32258065,Mn0.19354839,Nb0.22580645
Al0.27586207,Mn0.17241379,Mo0.34482759,Ti0.20689655
Al0.26666667,Mn0.2,Ti0.2,W0.33333333
Al0.25806452,Mn0.22580645,Mo0.19354839,Ni0.32258065
Al0.24242424,Mn0.24242424,Ti0.21212121,V0.3030303
Al0.23529412,Mn0.26470588,Nb0.20588235,Ni0.29411765
Al0.22222222,Mn0.25,Nb0.25,Ti0.27777778
Al0.25,Mn0.3125,Mo0.3125,W0.125
Al0.25806452,Mn0.32258065,Ti0.32258065,Zr0.09677419
Al0.24242424,Mo0.27272727,Ni0.18181818,V0.3030303
Al0.23529412,Mo0.26470588,Ni0.20588235,V0.29411765
Al0.24242424,Mo0.3030303,Nb0.21212121,Ni0.24242424
Al0.33333333,Nb0.41666667,Ti0.125,V0.125
Al0.22857143,Nb0.28571429,V0.22857143,W0.25714286
Al0.2962963,Ni0.18518519,Ti0.14814815,Zr0.37037037
Al0.28571429,Ti0.14285714,V0.21428571,W0.35714286
Al0.26470588,Co0.17647059,Cr0.26470588,Cu0.29411765
Al0.27272727,Co0.21212121,Hf0.21212121,Zr0.3030303
Al0.27272727,Co0.21212121,Nb0.21212121,V0.3030303
Al0.25714286,Co0.25714286,Ti0.28571429,V0.2
Al0.3,Co0.33333333,Fe0.33333333,Nb0.03333333
Al0.31034483,Co0.34482759,Cr0.03448276,Hf0.31034483
Al0.25,Co0.27777778,Cu0.25,Mo0.22222222
Al0.23076923,Co0.25641026,Fe0.25641026,Nb0.25641026
Al0.25,Co0.27777778,Nb0.19444444,V0.27777778
Al0.27272727,Co0.3030303,Ni0.24242424,W0.18181818
Al0.31034483,Cr0.20689655,Mn0.13793103,Ti0.34482759
Al0.26470588,Cr0.17647059,Nb0.26470588,V0.29411765
Al0.32142857,Cr0.25,Hf0.07142857,Ti0.35714286
Al0.28125,Cr0.21875,Mn0.3125,Nb0.1875
Al0.32142857,Cr0.28571429,Fe0.35714286,Mo0.03571429
Al0.25,Cr0.22222222,Ti0.25,W0.27777778
Al0.29032258,Cr0.29032258,Fe0.32258065,Ni0.09677419
Al0.25714286,Cr0.25714286,Mo0.2,V0.28571429
Al0.25714286,Cr0.28571429,Mo0.25714286,W0.2
Al0.26470588,Cu0.14705882,Nb0.29411765,Zr0.29411765
Al0.28125,Cu0.1875,Mn0.3125,V0.21875
Al0.29032258,Cu0.19354839,Nb0.19354839,Ti0.32258065
Al0.26470588,Cu0.23529412,Ni0.20588235,Ti0.29411765
Al0.375,Fe0.04166667,Hf0.16666667,Mo0.41666667
Al0.32142857,Fe0.21428571,Mo0.10714286,Ti0.35714286
Al0.25714286,Fe0.2,Mn0.28571429,Ti0.25714286
Al0.25714286,Fe0.22857143,Mo0.22857143,Nb0.28571429
Al0.26470588,Fe0.26470588,Mn0.29411765,Ti0.17647059
Al0.34615385,Fe0.38461538,Mo0.11538462,Ti0.15384615
Al0.26470588,Fe0.29411765,Mo0.26470588,Nb0.17647059
Al0.26470588,Fe0.29411765,Ti0.23529412,V0.20588235
Al0.40909091,Hf0.04545455,Mn0.45454545,Mo0.09090909
Al0.40909091,Hf0.09090909,Ti0.45454545,W0.04545455
Al0.29032258,Hf0.19354839,Mo0.19354839,V0.32258065
Al0.26470588,Hf0.17647059,Mo0.29411765,V0.26470588
Al0.3,Hf0.26666667,Mo0.1,Ti0.33333333
Al0.25,Hf0.25,Nb0.22222222,Ni0.27777778
